2025-08-20 16:55:58 - INFO - Inputs:
2025-08-20 16:55:58 - INFO -  --> input_file = example_input.xlsx
2025-08-20 16:55:58 - INFO -  --> output_folder = example_output
2025-08-20 16:55:58 - INFO -  --> seed = 321
2025-08-20 16:55:58 - INFO -  --> unavailable = NIET
2025-08-20 16:55:58 - INFO -  --> clip_bot = 1
2025-08-20 16:55:58 - INFO -  --> clip_upp = 41
2025-08-20 16:55:58 - INFO -  --> net = False
2025-08-20 16:55:58 - INFO -  --> tabu_length = 4
2025-08-20 16:55:58 - INFO -  --> perturbation_length = 50
2025-08-20 16:55:58 - INFO -  --> n_iterations = 500
2025-08-20 16:55:58 - INFO -  --> m = 7
2025-08-20 16:55:58 - INFO -  --> p = 1000
2025-08-20 16:55:58 - INFO -  --> r_max = 4
2025-08-20 16:55:58 - INFO -  --> alpha = 0.5
2025-08-20 16:55:58 - INFO -  --> beta = 0.01
2025-08-20 16:55:58 - INFO -  --> cost_excessive_rest_days = 500.0
2025-08-20 16:55:58 - INFO - PROCESSING LEAGUE > LEAGUE A
2025-08-20 16:55:59 - INFO - Read and parsed input data
2025-08-20 16:55:59 - INFO - Phase 1: Construction
2025-08-20 16:55:59 - INFO - Initialized schedule using method 1 with cost 3274.0
2025-08-20 16:56:00 - INFO - Initialized schedule using method 2 with cost 848.0
2025-08-20 16:56:00 - INFO - Comparing costs 3274.0 vs. 848.0
2025-08-20 16:56:00 - INFO - Initialization method 2 is best
2025-08-20 16:56:00 - INFO - Phase 2: Tabu & perturbation
2025-08-20 16:56:03 - INFO - Iteration   178  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   179  ->  Cost =  1338.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   180  ->  Cost =  1338.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   181  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   182  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   183  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   184  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   185  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   186  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   187  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   188  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   189  ->  Cost =  1335.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   190  ->  Cost =  1329.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   191  ->  Cost =  1329.0 | Rest days = 2
2025-08-20 16:56:03 - INFO - Iteration   192  ->  Cost =   824.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   193  ->  Cost =   814.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   194  ->  Cost =   814.0 | Rest days = 1
